s1,s2,rscore
1,48,0.8196050700466978
44,43,0.840410051145208
49,62,0.8486608850344675
6,35,0.8187182566155214
38,7,0.8948925950633756
40,25,0.8336668890371358
67,59,0.8362366021792306
33,53,0.8926475428063153
46,49,0.9014703135423616
29,25,0.8968023126528797
63,51,0.8389468534578608
21,59,0.8920106737825216
62,15,0.84237046920169
64,36,0.8371981320880587
66,41,0.8942379364020459
33,19,0.8891821214142762
10,69,0.8929152768512342
65,27,0.8365061151879031
11,5,0.8416704469646431
18,31,0.895051812319324
10,14,0.8387413831443185
67,21,0.8364794307315988
39,41,0.8954253947075829
60,35,0.8353382254836558
40,58,0.8345537024683122
47,52,0.8894587502779631
45,50,0.8161067378252168
55,29,0.8346141872359351
20,65,0.8385759395152323
12,37,0.8565105625972871
68,37,0.8917073604625306
62,20,0.8353622414943296
49,34,0.8978821436513231
10,0,0.8451412052479431
48,61,0.8947805203468979
13,14,0.8939559706470981
68,46,0.8529633088725818
41,14,0.8352430509228375
17,30,0.891434289526351
18,10,0.8917767400489215
17,37,0.8183802535023349
64,5,0.8421925728263286
27,26,0.9151665554814321
39,48,0.8910927284856571
44,37,0.8191629975539249
29,55,0.8346141872359351
28,32,0.9042179230598176
16,52,0.8942868579052702
44,47,0.8184861018456749
2,8,0.8908472314876584
9,64,0.8254987769624194
