s1,s2,rscore
27,45,1.0
94,15,1.0
40,57,1.0
2,59,1.0
76,77,1.0
83,90,1.0
18,17,1.0
87,43,1.0
86,65,1.0
95,8,1.0
90,44,1.0
73,65,1.0
2,93,1.0
90,4,1.0
36,53,1.0
9,11,1.0
74,82,1.0
33,64,1.0
70,53,1.0
22,31,1.0
70,26,1.0
16,29,1.0
50,57,1.0
61,89,1.0
40,15,1.0
54,2,1.0
7,57,1.0
60,70,1.0
79,89,1.0
84,14,1.0
85,45,1.0
56,16,1.0
97,49,1.0
18,48,1.0
70,69,1.0
45,6,1.0
67,69,1.0
15,55,1.0
34,96,1.0
86,21,1.0
33,61,1.0
14,8,1.0
30,97,1.0
86,73,1.0
8,13,1.0
15,63,1.0
32,66,1.0
46,52,1.0
87,100,1.0
7,92,1.0
11,34,1.0
74,73,1.0
79,68,1.0
37,70,1.0
50,90,1.0
93,82,1.0
77,27,1.0
10,55,1.0
76,79,1.0
31,80,1.0
65,3,1.0
9,47,1.0
97,43,1.0
3,36,1.0
19,86,1.0
65,54,1.0
63,48,1.0
23,82,1.0
3,19,1.0
66,47,1.0
28,8,1.0
50,53,1.0
35,31,1.0
80,14,1.0
73,90,1.0
77,74,1.0
53,38,1.0
75,21,1.0
81,48,1.0
43,52,1.0
65,38,1.0
28,37,1.0
75,45,1.0
27,37,1.0
81,97,1.0
30,19,1.0
76,33,1.0
57,44,1.0
36,47,1.0
8,39,1.0
94,78,1.0
55,35,1.0
13,17,1.0
28,18,1.0
14,51,1.0
60,8,1.0
60,19,1.0
0,15,1.0
73,63,1.0
33,93,1.0
