s1,s2,rscore
56,49,1.0
31,36,1.0
8,82,1.0
65,85,1.0
88,45,1.0
36,64,1.0
20,90,1.0
42,46,1.0
98,52,1.0
3,74,1.0
65,33,1.0
19,55,1.0
21,60,1.0
14,99,1.0
31,96,1.0
17,13,1.0
6,11,1.0
31,38,1.0
40,21,1.0
67,87,1.0
7,55,1.0
36,32,1.0
41,47,1.0
7,2,1.0
91,7,1.0
89,73,1.0
90,75,1.0
48,38,1.0
71,95,1.0
70,23,1.0
60,56,1.0
11,38,1.0
40,84,1.0
60,82,1.0
60,1,1.0
75,81,1.0
87,12,1.0
66,94,1.0
30,83,1.0
89,96,1.0
7,76,1.0
49,87,1.0
12,64,1.0
80,99,1.0
61,84,1.0
93,8,1.0
0,79,1.0
13,18,1.0
60,49,1.0
59,4,1.0
22,17,1.0
26,42,1.0
26,22,1.0
77,13,1.0
45,53,1.0
63,43,1.0
72,52,1.0
58,9,1.0
59,75,1.0
49,14,1.0
50,63,1.0
20,44,1.0
73,61,1.0
2,44,1.0
15,25,1.0
20,60,1.0
73,97,1.0
7,26,1.0
36,21,1.0
87,29,1.0
36,44,1.0
23,95,1.0
69,87,1.0
63,18,1.0
55,92,1.0
8,42,1.0
21,98,1.0
52,3,1.0
42,26,1.0
86,93,1.0
1,42,1.0
17,30,1.0
21,3,1.0
22,1,1.0
69,62,1.0
85,69,1.0
70,3,1.0
70,26,1.0
2,59,1.0
17,96,1.0
96,32,1.0
82,60,1.0
39,46,1.0
20,61,1.0
87,28,1.0
55,38,1.0
38,69,1.0
26,30,1.0
6,68,1.0
88,35,1.0
