s1,s2,rscore
38,61,1.0
68,29,1.0
16,91,1.0
84,22,1.0
70,90,1.0
48,26,1.0
77,23,1.0
52,84,1.0
66,89,1.0
10,29,1.0
10,40,1.0
70,96,1.0
95,63,1.0
31,27,1.0
61,58,1.0
95,36,1.0
75,93,1.0
15,82,1.0
22,61,1.0
23,52,1.0
17,90,1.0
81,19,1.0
17,24,1.0
76,4,1.0
30,42,1.0
91,77,1.0
40,84,1.0
85,75,1.0
58,44,1.0
14,63,1.0
4,1,1.0
10,68,1.0
65,65,1.0
74,59,1.0
43,67,1.0
99,16,1.0
14,85,1.0
19,84,1.0
73,73,1.0
6,73,1.0
81,71,1.0
92,30,1.0
92,41,1.0
47,92,1.0
13,33,1.0
33,95,1.0
99,49,1.0
49,69,1.0
53,65,1.0
52,50,1.0
79,49,1.0
50,5,1.0
85,87,1.0
80,65,1.0
88,80,1.0
20,59,1.0
58,30,1.0
5,88,1.0
26,89,1.0
27,65,1.0
52,51,1.0
75,66,1.0
34,61,1.0
28,30,1.0
44,31,1.0
12,44,1.0
2,83,1.0
67,59,1.0
94,85,1.0
91,70,1.0
68,44,1.0
86,4,1.0
52,47,1.0
74,16,1.0
33,71,1.0
24,93,1.0
60,30,1.0
52,88,1.0
76,11,1.0
62,38,1.0
34,73,1.0
24,28,1.0
10,7,1.0
98,26,1.0
59,77,1.0
73,40,1.0
77,59,1.0
71,35,1.0
66,22,1.0
16,40,1.0
5,8,1.0
13,62,1.0
22,57,1.0
36,73,1.0
17,32,1.0
67,76,1.0
100,4,1.0
82,66,1.0
33,43,1.0
66,43,1.0
