s1,s2,rscore
73,84,1.0
5,3,1.0
95,41,1.0
6,39,1.0
7,55,1.0
8,73,1.0
27,87,1.0
38,38,1.0
82,93,1.0
17,15,1.0
58,62,1.0
68,16,1.0
93,43,1.0
90,87,1.0
77,96,1.0
58,77,1.0
32,55,1.0
95,49,1.0
41,80,1.0
60,48,1.0
16,6,1.0
56,80,1.0
57,60,1.0
62,14,1.0
39,45,1.0
0,56,1.0
49,68,1.0
21,26,1.0
27,77,1.0
18,42,1.0
98,31,1.0
16,23,1.0
50,30,1.0
9,26,1.0
40,12,1.0
2,64,1.0
55,82,1.0
67,93,1.0
11,94,1.0
7,62,1.0
44,66,1.0
13,7,1.0
7,85,1.0
54,94,1.0
78,16,1.0
13,38,1.0
20,49,1.0
73,90,1.0
96,9,1.0
92,20,1.0
25,29,1.0
75,73,1.0
75,7,1.0
16,27,1.0
39,25,1.0
21,37,1.0
22,30,1.0
62,93,1.0
62,26,1.0
46,31,1.0
57,50,1.0
15,50,1.0
81,42,1.0
39,71,1.0
69,9,1.0
79,60,1.0
7,6,1.0
65,68,1.0
99,80,1.0
60,62,1.0
72,18,1.0
52,45,1.0
98,80,1.0
100,1,1.0
13,53,1.0
4,37,1.0
27,1,1.0
24,71,1.0
7,39,1.0
36,3,1.0
33,34,1.0
46,3,1.0
94,53,1.0
90,85,1.0
65,0,1.0
96,91,1.0
46,22,1.0
86,71,1.0
23,82,1.0
39,30,1.0
86,51,1.0
40,86,1.0
14,63,1.0
65,60,1.0
3,48,1.0
0,47,1.0
76,6,1.0
59,37,1.0
55,56,1.0
52,86,1.0
