s1,s2,rscore
19,99,1.0
78,99,1.0
72,65,1.0
11,6,1.0
94,15,1.0
23,42,1.0
37,83,1.0
35,37,1.0
25,91,1.0
90,39,1.0
81,6,1.0
98,16,1.0
48,72,1.0
28,14,1.0
56,2,1.0
92,85,1.0
37,27,1.0
84,35,1.0
60,33,1.0
59,69,1.0
30,56,1.0
10,59,1.0
77,100,1.0
21,45,1.0
82,90,1.0
1,71,1.0
100,25,1.0
5,78,1.0
79,84,1.0
3,60,1.0
20,55,1.0
0,18,1.0
1,46,1.0
26,13,1.0
12,85,1.0
15,2,1.0
42,14,1.0
8,25,1.0
81,58,1.0
14,19,1.0
61,77,1.0
66,55,1.0
55,19,1.0
76,93,1.0
5,64,1.0
8,79,1.0
66,42,1.0
45,87,1.0
39,4,1.0
2,64,1.0
76,54,1.0
88,86,1.0
29,23,1.0
18,42,1.0
16,87,1.0
38,61,1.0
27,14,1.0
25,41,1.0
35,67,1.0
51,25,1.0
0,93,1.0
88,2,1.0
33,79,1.0
51,83,1.0
26,20,1.0
74,4,1.0
52,92,1.0
68,76,1.0
56,17,1.0
39,79,1.0
37,94,1.0
58,81,1.0
11,34,1.0
39,26,1.0
28,43,1.0
30,8,1.0
79,6,1.0
32,17,1.0
27,1,1.0
72,52,1.0
85,61,1.0
1,44,1.0
13,47,1.0
27,4,1.0
53,34,1.0
57,93,1.0
17,46,1.0
28,18,1.0
41,42,1.0
82,85,1.0
40,52,1.0
22,27,1.0
44,78,1.0
71,81,1.0
28,94,1.0
43,25,1.0
94,52,1.0
18,28,1.0
30,51,1.0
20,91,1.0
