s1,s2,rscore
0,78,1.0
87,74,1.0
69,63,1.0
99,22,1.0
44,68,1.0
60,68,1.0
71,69,1.0
2,77,1.0
60,4,1.0
40,93,1.0
83,90,1.0
32,48,1.0
30,83,1.0
58,28,1.0
78,60,1.0
46,12,1.0
64,67,1.0
41,67,1.0
8,66,1.0
64,1,1.0
74,73,1.0
34,5,1.0
88,64,1.0
17,31,1.0
99,28,1.0
61,30,1.0
36,90,1.0
14,62,1.0
14,93,1.0
92,21,1.0
93,35,1.0
42,12,1.0
78,38,1.0
8,100,1.0
100,80,1.0
17,40,1.0
98,32,1.0
80,83,1.0
22,82,1.0
47,12,1.0
84,32,1.0
53,75,1.0
57,63,1.0
74,52,1.0
43,69,1.0
53,41,1.0
42,98,1.0
37,98,1.0
99,45,1.0
41,29,1.0
57,26,1.0
49,8,1.0
10,15,1.0
5,68,1.0
96,100,1.0
9,63,1.0
55,48,1.0
43,78,1.0
64,6,1.0
55,49,1.0
71,18,1.0
80,33,1.0
26,84,1.0
81,9,1.0
28,46,1.0
77,18,1.0
71,19,1.0
82,7,1.0
22,21,1.0
57,27,1.0
75,19,1.0
90,66,1.0
50,34,1.0
48,13,1.0
34,5,1.0
42,69,1.0
13,89,1.0
57,52,1.0
54,75,1.0
54,61,1.0
17,42,1.0
34,16,1.0
100,74,1.0
16,62,1.0
30,30,1.0
37,8,1.0
60,49,1.0
27,53,1.0
4,68,1.0
94,21,1.0
28,26,1.0
37,12,1.0
71,79,1.0
51,56,1.0
9,21,1.0
82,0,1.0
48,91,1.0
80,52,1.0
47,2,1.0
48,11,1.0
