s1,s2,rscore
52,75,1.0
59,35,1.0
29,100,1.0
23,25,1.0
100,2,1.0
39,19,1.0
11,1,1.0
15,18,1.0
97,62,1.0
55,3,1.0
34,79,1.0
7,56,1.0
66,27,1.0
11,4,1.0
9,16,1.0
93,80,1.0
34,8,1.0
91,92,1.0
99,19,1.0
85,39,1.0
23,99,1.0
19,56,1.0
32,35,1.0
87,56,1.0
30,51,1.0
57,86,1.0
98,4,1.0
58,93,1.0
35,1,1.0
16,4,1.0
41,35,1.0
0,36,1.0
58,16,1.0
36,99,1.0
34,61,1.0
89,6,1.0
42,83,1.0
81,46,1.0
17,83,1.0
50,99,1.0
99,29,1.0
59,64,1.0
66,15,1.0
54,97,1.0
6,55,1.0
64,40,1.0
75,24,1.0
38,51,1.0
49,0,1.0
9,93,1.0
74,71,1.0
99,37,1.0
22,34,1.0
45,0,1.0
22,75,1.0
27,20,1.0
9,33,1.0
100,82,1.0
31,83,1.0
90,92,1.0
50,93,1.0
49,2,1.0
73,45,1.0
44,43,1.0
86,84,1.0
29,10,1.0
94,73,1.0
15,53,1.0
44,70,1.0
78,60,1.0
24,15,1.0
94,88,1.0
20,83,1.0
60,21,1.0
85,32,1.0
55,99,1.0
68,100,1.0
43,77,1.0
97,82,1.0
16,83,1.0
86,95,1.0
59,3,1.0
0,64,1.0
39,78,1.0
99,20,1.0
43,12,1.0
70,68,1.0
50,43,1.0
16,0,1.0
93,78,1.0
88,41,1.0
53,31,1.0
40,53,1.0
1,59,1.0
56,23,1.0
36,76,1.0
44,70,1.0
95,14,1.0
10,50,1.0
21,92,1.0
