s1,s2,rscore
58,7,0.9066702245941739
40,73,0.8265003335557038
34,1,0.7567258172114744
91,59,0.8386782299310651
8,41,0.7973698020902824
75,98,0.916418945963976
100,37,0.9747004669779853
12,10,0.7499266177451634
8,30,0.8679866577718479
60,69,0.9894934400711586
74,76,0.7776784523015343
37,82,0.751244829886591
86,41,0.76969357349344
54,39,0.7552519457416055
22,82,0.9816802312652879
30,96,0.8711558816989103
69,29,0.8051474316210807
2,22,1.0
78,7,0.9439653102068045
13,27,0.8257220369134979
61,82,0.9816802312652879
67,18,0.7664202801867912
87,71,0.7618234378474539
62,69,1.0
52,87,0.8209455192350456
41,73,0.8484909939959974
61,37,0.7501845674894374
59,92,0.9276611074049366
50,61,0.912649321770069
45,47,0.7504362908605737
24,33,0.7855859461863465
61,64,0.8155623749166111
1,6,0.8622441627751835
46,11,0.7893013119857683
90,17,0.8355179008227708
42,42,1.0
48,93,0.9107636201912386
38,50,0.9269584167222593
14,84,0.8887605070046698
57,54,0.7497158105403603
49,61,0.7610246831220814
26,26,1.0
99,25,0.7579879919946632
37,60,0.790743162108072
0,34,0.8044340671558817
73,58,0.7677109183900378
83,32,0.8386115187903046
12,68,0.958531465421392
79,100,0.8371758950411385
63,15,0.7830482543918168
79,42,0.9229326217478319
49,99,0.852262397153658
94,34,0.909242606181899
88,54,0.8434974427396041
63,19,0.7676104069379587
47,3,0.9993391149655326
66,84,0.8032937513898154
77,12,0.7499266177451634
24,17,0.8359519679786525
78,39,0.8539257282632866
79,91,0.8958247720702691
79,3,0.83837046920169
48,8,0.9107636201912386
48,72,0.8274298421169669
66,36,0.8243967089170559
70,40,0.7750082277073604
18,62,0.8242935290193463
53,94,0.7850024460751612
35,70,0.9686128530131198
69,55,0.806840115632644
53,63,0.7695476984656437
0,61,1.0
11,45,0.8814978874805426
42,95,0.8957714031576607
48,31,0.7677109183900378
94,49,0.9733537914164999
29,8,0.9628107627307093
45,34,0.81879386257505
32,66,0.8534747609517456
17,41,0.7619043806982433
23,58,0.8452995330220147
51,55,0.9671656659995552
7,51,0.7506310873915943
46,65,0.8786524349566378
49,4,0.7650967311541027
1,44,0.7514209472981987
41,100,0.7813155436957971
43,13,0.8220262397153658
1,82,0.8588214365132311
74,73,0.7499266177451634
11,17,0.7666684456304202
81,20,0.7589201690015566
8,24,0.7508961529908829
56,0,0.8186453191016233
85,54,0.8459959973315544
17,74,0.7962784078274405
70,73,0.7542361574382922
62,73,0.8242935290193463
94,58,1.0
96,0,0.7512546141872359
