s1,s2,rscore
65,100,1.0
0,60,1.0
15,30,0.843695797198132
8,35,1.0
84,36,1.0
2,64,1.0
35,21,1.0
85,90,1.0
15,94,0.843695797198132
62,38,1.0
41,15,0.843695797198132
34,50,1.0
81,32,1.0
40,45,0.8438594618634645
26,7,1.0
95,3,1.0
92,15,0.843695797198132
35,44,1.0
33,8,1.0
54,77,1.0
6,62,1.0
3,80,1.0
100,7,1.0
19,46,1.0
19,87,1.0
49,100,1.0
49,46,1.0
68,8,1.0
69,73,1.0
12,2,1.0
67,76,1.0
34,52,1.0
25,6,1.0
91,74,1.0
61,17,0.844179675339115
45,13,0.8438594618634645
98,35,1.0
55,11,1.0
28,76,1.0
56,71,1.0
74,67,1.0
70,96,0.9945866132977541
1,100,1.0
87,44,1.0
8,1,1.0
95,30,1.0
50,88,1.0
97,56,1.0
15,46,0.843695797198132
67,39,1.0
67,17,0.844179675339115
24,71,1.0
76,97,1.0
44,17,0.844179675339115
59,17,0.844179675339115
65,14,1.0
93,28,1.0
44,95,1.0
94,44,1.0
60,46,1.0
100,40,1.0
60,40,1.0
40,81,1.0
12,14,1.0
96,11,0.8436459862130309
45,22,0.8438594618634645
92,16,1.0
63,40,1.0
71,29,1.0
2,59,1.0
99,41,1.0
61,83,0.8438879252835223
23,62,1.0
52,19,1.0
54,53,1.0
33,38,1.0
20,93,1.0
77,44,1.0
72,87,1.0
68,19,1.0
78,95,1.0
60,58,1.0
65,0,1.0
20,83,0.8438879252835223
97,20,1.0
29,21,1.0
96,92,0.8436459862130309
43,57,1.0
10,63,1.0
93,89,1.0
51,7,1.0
37,76,1.0
35,4,1.0
93,17,0.844179675339115
88,51,1.0
77,93,1.0
50,40,1.0
0,51,1.0
4,61,1.0
68,9,1.0
