s1,s2,rscore
85,31,0.9993275517011341
83,79,0.9838772515010007
17,53,0.9979275072270403
37,72,0.9729891038470091
97,86,0.9942397153657995
55,29,0.9643388925950633
38,61,0.9985963975983989
76,58,0.9583740271291973
67,79,1.0
77,26,0.9826346453191016
62,68,0.9709726484322881
54,32,1.0
4,15,0.9866195241271959
49,79,0.9720240160106738
2,0,0.9694276184122749
70,63,0.9709726484322881
26,78,0.9908854792083611
72,65,0.9949006004002668
16,85,0.9703553480097843
44,56,0.9763050922837447
94,34,0.9707840782744052
75,50,0.9694276184122749
31,64,0.9888245496997998
86,4,0.9823393373360018
43,85,0.9985963975983989
90,41,0.9887249277295975
20,84,0.9985127863019791
95,86,0.9894071603291082
30,52,0.9794191683344452
78,22,0.9909050478096508
98,61,0.9952163664665332
39,28,1.0
64,42,0.9909984434067156
10,44,0.9826346453191016
92,83,0.9852417167000223
20,42,0.9827075828329997
47,100,0.9709726484322881
93,47,0.9709726484322881
80,74,0.9694276184122749
98,10,0.993826995774961
71,9,0.979631754503002
53,47,1.0
11,30,0.9745243495663776
73,3,0.9661338670224594
82,10,0.9693804758728041
74,25,0.9992474983322215
21,40,0.9942397153657995
2,21,0.9812257060262397
100,57,0.9709726484322881
12,53,0.9873035356904603
36,60,1.0
2,22,0.98425350233489
86,27,0.9942397153657995
43,99,0.9738350011118524
73,95,0.9642526128530131
41,86,0.9736482099177229
45,67,0.9812257060262397
15,69,0.9765372470535912
13,40,0.9783206582165889
44,72,0.9832706248610185
68,91,0.9826346453191016
31,94,0.9888245496997998
2,27,0.9812257060262397
91,94,0.9794467422726262
70,30,0.9773262174783188
51,2,0.9799875472537247
13,32,0.9680507004669779
33,40,0.9783206582165889
50,10,0.9812257060262397
36,11,1.0
11,4,0.9866195241271959
57,97,1.0
37,1,0.9985697131420948
76,91,0.9828801423171003
39,73,0.9955116744496331
34,55,0.9726519902156994
44,79,0.9826346453191016
33,40,0.9783206582165889
1,50,0.9694276184122749
38,0,0.9709726484322881
56,41,0.9955863909272848
43,95,0.9950802757393818
48,65,0.9785723815877252
9,73,0.972869913275517
80,99,0.9908072048032022
65,92,0.9928610184567489
12,98,0.982674672003558
39,69,0.9745910607071381
55,37,0.9656784523015344
71,33,0.9782192572826328
66,39,0.968732043584612
37,71,0.9843308872581721
68,72,0.9993391149655326
84,65,0.9783206582165889
28,40,0.9772772959750945
57,65,0.9942397153657995
77,72,0.9832706248610185
7,31,0.9690762730709361
92,58,0.9703553480097843
60,74,0.9709726484322881
