s1,s2,rscore
26,8,0.9694694240604848
92,86,1.0
83,32,0.9701116299755392
96,29,0.9664060484767623
46,45,0.9694694240604848
22,62,0.9905866132977541
22,28,0.9719208361129642
97,87,0.9777433844785413
93,61,0.9707556148543474
67,93,0.9694694240604848
79,41,0.9694694240604848
15,47,0.9694694240604848
96,48,0.9701116299755392
80,40,1.0
41,59,0.9986462085835001
26,81,0.9694694240604848
39,14,0.9796166333110963
86,30,0.9694694240604848
42,84,0.9973920391372025
86,40,1.0
41,7,0.9933128752501668
54,11,0.985339559706471
49,71,0.9694694240604848
13,32,0.9694694240604848
41,98,0.9986462085835001
82,13,1.0
73,75,0.9905750500333556
8,98,0.9986462085835001
99,4,1.0
28,30,0.9719208361129642
65,80,1.0
43,96,0.9959243940404714
96,63,1.0
36,12,0.9694694240604848
49,89,0.9694694240604848
60,72,0.9967142539470758
48,52,0.9701116299755392
83,23,0.9701116299755392
96,97,0.9777433844785413
43,51,0.9959243940404714
89,60,0.9967142539470758
65,91,0.9694694240604848
44,23,0.9732070269068268
21,56,0.9694694240604848
99,5,1.0
2,77,0.9694694240604848
45,52,1.0
50,64,0.9707556148543474
0,75,0.9694694240604848
15,17,0.9694694240604848
45,59,0.9707556148543474
29,46,0.9967142539470758
63,41,0.9694694240604848
67,42,0.9960382477207027
51,35,0.9719208361129642
94,49,1.0
36,4,0.9694694240604848
26,69,1.0
70,83,0.9993222148098733
33,67,0.9973920391372025
71,3,1.0
24,14,0.9892426061818991
87,13,0.9694694240604848
66,68,0.9694694240604848
73,45,0.9783357794084946
63,34,0.9694694240604848
68,13,0.9694694240604848
22,67,0.9694694240604848
88,73,0.9905750500333556
15,4,0.9694694240604848
39,75,0.9694694240604848
60,2,0.9967142539470758
84,78,0.9707556148543474
28,57,0.9719208361129642
29,93,0.9664060484767623
15,29,0.9664060484767623
24,15,0.9694694240604848
17,23,0.9694694240604848
60,63,0.9664060484767623
94,42,0.9732070269068268
39,42,0.9732070269068268
73,2,0.9905750500333556
65,39,0.9694694240604848
97,99,0.9912119190571492
19,41,0.9694694240604848
29,41,0.9967142539470758
35,82,0.9973920391372025
54,87,0.9701116299755392
86,9,0.9694694240604848
98,78,0.9707556148543474
92,90,0.9892426061818991
32,41,0.9694694240604848
4,86,1.0
61,17,0.9986462085835001
80,81,1.0
52,83,0.9701116299755392
35,84,0.9960382477207027
61,43,0.9747351567711808
29,10,0.9953640204580831
19,34,0.9694694240604848
