s1,s2,rscore
44,17,0.9991843451189683
59,4,1.0
26,62,0.7326021792305982
17,67,1.0
54,66,0.6646822325995108
8,24,0.7352350455859462
87,25,1.0
61,6,1.0
67,26,0.7346622192572826
34,24,1.0
90,21,0.663595285746053
100,59,0.656391372025795
68,43,0.734784967756282
43,72,1.0
2,91,1.0
92,4,0.9399653102068045
71,47,0.6571652212586169
68,74,0.734784967756282
3,18,0.6941694462975316
19,54,0.9279573048699132
0,91,1.0
20,70,0.9793515677118079
75,60,0.6940724927729598
13,37,0.9991843451189683
53,96,0.9286715588169892
81,83,0.6919377362686235
53,19,1.0
46,45,0.7187307093617967
3,9,0.6563104291750056
97,59,1.0
47,29,0.9788943740271292
45,54,0.734697798532355
67,87,1.0
54,67,1.0
8,59,0.7352350455859462
69,18,0.773809206137425
63,44,0.9286715588169892
66,51,0.6646822325995108
52,56,0.9900137869690905
40,15,0.6561031798977096
22,5,0.9279573048699132
81,24,0.6548570157883034
35,45,0.734697798532355
89,59,1.0
100,72,0.656391372025795
98,94,0.9279573048699132
45,67,0.734697798532355
18,23,0.7228472314876584
68,16,0.734784967756282
8,38,0.6949059372915277
79,9,0.9785465866132977
31,80,1.0
44,43,0.9991843451189683
43,10,0.656391372025795
43,28,0.6545679341783411
24,67,1.0
68,11,0.7440916166333111
71,38,0.6554912163664666
77,69,0.6753577940849456
36,20,0.9900137869690905
28,7,0.982080498109851
68,32,0.734784967756282
73,68,0.7317269290638203
19,48,0.9279573048699132
46,8,0.7160338003113187
45,7,0.6978928174338448
63,47,0.6642686235267956
37,68,0.73426462085835
85,90,0.9713311096286413
50,31,0.6577487213698021
72,40,1.0
21,42,0.7218483433400045
25,47,0.6571652212586169
64,49,0.6643593506782299
62,26,0.7326021792305982
39,12,1.0
12,42,0.7346622192572826
60,29,0.9873809206137425
17,87,1.0
16,58,0.664326439848788
96,15,0.656027573938181
66,66,1.0
58,74,0.664326439848788
18,71,0.7242428285523682
4,82,0.9279573048699132
39,37,0.9991843451189683
88,1,0.6544674227262619
0,70,0.9793515677118079
45,79,0.7315881698910385
57,20,0.9279573048699132
78,23,0.9975583722481655
60,43,0.6549210584834334
8,36,0.7318719146097399
84,1,0.6559119412941962
56,76,0.7340902824104959
81,24,0.6548570157883034
30,15,0.6561031798977096
100,40,0.656391372025795
11,4,0.6788481209695353
90,44,0.6543206582165888
